12480
(0.785314, 0.583752)
(0.775444, 0.57693)
(0.776616, 0.593687)
(0.796992, 0.581014)
(0.791635, 0.59391)
(0.784094, 0.574682)
(0.772018, 0.586517)
(0.791067, 0.576711)
(0.784679, 0.595814)
(0.782728, 0.566625)
(0.790334, 0.569137)
(0.799469, 0.566996)
(0.80818, 0.577796)
(0.792033, 0.586503)
(0.800673, 0.588194)
(0.788369, 0.560219)
(0.77182, 0.56974)
(0.773215, 0.557125)
(0.789691, 0.604814)
(0.800299, 0.595644)
(0.810242, 0.595474)
(0.808659, 0.586884)
(0.79691, 0.558915)
(0.765661, 0.577645)
(0.767902, 0.596558)
(0.764359, 0.589486)
(0.757453, 0.580434)
(0.755136, 0.589344)
(0.758228, 0.59734)
(0.763005, 0.558719)
(0.764865, 0.549438)
(0.78164, 0.554614)
(0.77497, 0.549334)
(0.792055, 0.549226)
(0.808953, 0.560921)
(0.801813, 0.55069)
(0.78287, 0.610377)
(0.800063, 0.607013)
(0.790492, 0.61295)
(0.775552, 0.604838)
(0.785046, 0.618096)
(0.81266, 0.567856)
(0.819507, 0.558297)
(0.809492, 0.551244)
(0.819676, 0.592923)
(0.815448, 0.603084)
(0.808083, 0.607784)
(0.818679, 0.585689)
(0.798674, 0.614532)
(0.804731, 0.601305)
(0.828377, 0.585009)
(0.815222, 0.574567)
(0.823308, 0.576442)
(0.749408, 0.584774)
(0.754916, 0.571765)
(0.747376, 0.577016)
(0.834968, 0.580388)
(0.838239, 0.590944)
(0.828819, 0.593311)
(0.785265, 0.541527)
(0.826829, 0.567509)
(0.753252, 0.553521)
(0.759876, 0.565613)
(0.744245, 0.570532)
(0.748863, 0.564043)
(0.742528, 0.559826)
(0.735662, 0.566825)
(0.822543, 0.605923)
(0.728899, 0.561742)
(0.724528, 0.571634)
(0.736661, 0.553109)
(0.730345, 0.57641)
(0.743681, 0.596485)
(0.752922, 0.602915)
(0.750864, 0.595027)
(0.766706, 0.608408)
(0.805449, 0.626697)
(0.7952, 0.624208)
(0.805537, 0.61908)
(0.80301, 0.640317)
(0.812352, 0.623593)
(0.80046, 0.633112)
(0.814758, 0.631283)
(0.813746, 0.615505)
(0.766512, 0.537427)
(0.773889, 0.540561)
(0.759181, 0.537373)
(0.755045, 0.546452)
(0.775338, 0.618003)
(0.829918, 0.605199)
(0.826124, 0.614256)
(0.777766, 0.531392)
(0.76294, 0.529195)
(0.755506, 0.52946)
(0.768165, 0.524158)
(0.744832, 0.552546)
(0.744076, 0.545059)
(0.742178, 0.528258)
(0.751106, 0.520139)
(0.76034, 0.521075)
(0.765042, 0.619512)
(0.755401, 0.612022)
(0.717169, 0.569985)
(0.724568, 0.585413)
(0.720115, 0.562436)
(0.716525, 0.577089)
(0.782564, 0.628316)
(0.77109, 0.623823)
(0.739724, 0.590401)
(0.742648, 0.605398)
(0.740047, 0.538254)
(0.734314, 0.54526)
(0.74931, 0.53627)
(0.772838, 0.631642)
(0.762489, 0.627263)
(0.764866, 0.634662)
(0.707323, 0.56921)
(0.709251, 0.578402)
(0.711084, 0.561253)
(0.818753, 0.638515)
(0.820288, 0.626501)
(0.809606, 0.636169)
(0.827625, 0.627133)
(0.807819, 0.646448)
(0.820096, 0.645607)
(0.849322, 0.58695)
(0.841932, 0.58359)
(0.847616, 0.600569)
(0.834913, 0.569982)
(0.841986, 0.571058)
(0.706047, 0.584885)
