9832
(0.383231, 0.41579)
(0.390407, 0.411543)
(0.390997, 0.422045)
(0.369524, 0.418797)
(0.377494, 0.411076)
(0.383097, 0.402787)
(0.374911, 0.425018)
(0.382658, 0.428785)
(0.362014, 0.42108)
(0.368276, 0.428694)
(0.363815, 0.409285)
(0.376382, 0.400235)
(0.355587, 0.417114)
(0.352069, 0.405592)
(0.366255, 0.398086)
(0.359451, 0.401587)
(0.351031, 0.425346)
(0.358965, 0.432165)
(0.352415, 0.437209)
(0.35784, 0.445629)
(0.365823, 0.436223)
(0.341832, 0.415193)
(0.399897, 0.413717)
(0.396418, 0.405148)
(0.368169, 0.443829)
(0.378516, 0.435726)
(0.343329, 0.438557)
(0.339731, 0.431333)
(0.350167, 0.446963)
(0.404403, 0.399585)
(0.395038, 0.397912)
(0.409314, 0.410204)
(0.407442, 0.418311)
(0.399729, 0.425491)
(0.374826, 0.391973)
(0.383684, 0.395083)
(0.391447, 0.429334)
(0.367447, 0.384212)
(0.380348, 0.385935)
(0.375869, 0.379185)
(0.349503, 0.455778)
(0.340907, 0.454214)
(0.35867, 0.455988)
(0.340115, 0.447164)
(0.371033, 0.40709)
(0.349948, 0.393911)
(0.390172, 0.443465)
(0.381988, 0.446303)
(0.374774, 0.44925)
(0.387571, 0.436656)
(0.416439, 0.41427)
(0.414475, 0.397841)
(0.328917, 0.439547)
(0.329911, 0.426746)
(0.336735, 0.42271)
(0.426099, 0.424383)
(0.416391, 0.422583)
(0.427166, 0.415659)
(0.42484, 0.40811)
(0.39989, 0.438335)
(0.404014, 0.38922)
(0.393302, 0.389686)
(0.388051, 0.454166)
(0.370516, 0.373086)
(0.383596, 0.371971)
(0.38715, 0.382285)
(0.365005, 0.377567)
(0.376837, 0.367328)
(0.344577, 0.4075)
(0.341145, 0.400066)
(0.317661, 0.442292)
(0.332743, 0.450376)
(0.320303, 0.431146)
(0.324927, 0.447045)
(0.336157, 0.439866)
(0.325023, 0.414672)
(0.399336, 0.377206)
(0.370021, 0.455622)
(0.384914, 0.357381)
(0.372936, 0.35421)
(0.367048, 0.363352)
(0.392158, 0.376589)
(0.391714, 0.369224)
(0.393146, 0.361555)
(0.413001, 0.430289)
(0.400528, 0.366559)
(0.402769, 0.359292)
(0.397989, 0.351543)
(0.389656, 0.349641)
(0.385622, 0.364855)
(0.34497, 0.386742)
(0.336496, 0.394225)
(0.358715, 0.392757)
(0.35524, 0.382792)
(0.40495, 0.43319)
(0.411212, 0.350652)
(0.416184, 0.359105)
(0.381453, 0.346736)
(0.365142, 0.351847)
(0.36965, 0.342075)
(0.364494, 0.462337)
(0.364053, 0.449824)
(0.371702, 0.46491)
(0.381133, 0.456758)
(0.313112, 0.454553)
(0.329128, 0.458082)
(0.321549, 0.45428)
(0.384299, 0.338521)
(0.376804, 0.340221)
(0.348965, 0.413894)
(0.300046, 0.459332)
(0.310618, 0.46635)
(0.324115, 0.46312)
(0.305233, 0.45329)
(0.316898, 0.462326)
(0.310272, 0.447141)
(0.358537, 0.367475)
(0.310931, 0.439977)
(0.303185, 0.445675)
